"unit","var","subgroup","numerator","denominator"
"All municipalities","Gastroenteritis",2024-10-01,27,95101
"All municipalities","Gastroenteritis",2024-11-01,18,95101
"All municipalities","Gastroenteritis",2024-12-01,21,95101
"All municipalities","Lower respiratory disease",2020-01-01,356,91879
"All municipalities","Lower respiratory disease",2020-02-01,287,91879
"All municipalities","Lower respiratory disease",2020-03-01,237,91879
"All municipalities","Lower respiratory disease",2020-04-01,131,91879
"All municipalities","Lower respiratory disease",2020-05-01,148,91879
"All municipalities","Lower respiratory disease",2020-06-01,140,91879
"All municipalities","Lower respiratory disease",2020-07-01,152,91879
"All municipalities","Lower respiratory disease",2020-08-01,166,91879
"All municipalities","Lower respiratory disease",2020-09-01,147,91879
"All municipalities","Lower respiratory disease",2020-10-01,137,91879
"All municipalities","Lower respiratory disease",2020-11-01,165,91879
"All municipalities","Lower respiratory disease",2020-12-01,152,91879
"All municipalities","Lower respiratory disease",2021-01-01,113,91108
"All municipalities","Lower respiratory disease",2021-02-01,133,91108
"All municipalities","Lower respiratory disease",2021-03-01,148,91108
"All municipalities","Lower respiratory disease",2021-04-01,128,91108
"All municipalities","Lower respiratory disease",2021-05-01,176,91108
"All municipalities","Lower respiratory disease",2021-06-01,155,91108
"All municipalities","Lower respiratory disease",2021-07-01,165,91108
"All municipalities","Lower respiratory disease",2021-08-01,147,91108
"All municipalities","Lower respiratory disease",2021-09-01,220,91108
"All municipalities","Lower respiratory disease",2021-10-01,232,91108
"All municipalities","Lower respiratory disease",2021-11-01,216,91108
"All municipalities","Lower respiratory disease",2021-12-01,228,91108
"All municipalities","Lower respiratory disease",2022-01-01,183,92771
"All municipalities","Lower respiratory disease",2022-02-01,161,92771
"All municipalities","Lower respiratory disease",2022-03-01,210,92771
"All municipalities","Lower respiratory disease",2022-04-01,232,92771
"All municipalities","Lower respiratory disease",2022-05-01,200,92771
"All municipalities","Lower respiratory disease",2022-06-01,209,92771
"All municipalities","Lower respiratory disease",2022-07-01,169,92771
"All municipalities","Lower respiratory disease",2022-08-01,177,92771
"All municipalities","Lower respiratory disease",2022-09-01,180,92771
"All municipalities","Lower respiratory disease",2022-10-01,255,92771
"All municipalities","Lower respiratory disease",2022-11-01,252,92771
"All municipalities","Lower respiratory disease",2022-12-01,314,92771
"All municipalities","Lower respiratory disease",2023-01-01,312,93972
"All municipalities","Lower respiratory disease",2023-02-01,231,93972
"All municipalities","Lower respiratory disease",2023-03-01,271,93972
"All municipalities","Lower respiratory disease",2023-04-01,270,93972
"All municipalities","Lower respiratory disease",2023-05-01,221,93972
"All municipalities","Lower respiratory disease",2023-06-01,188,93972
"All municipalities","Lower respiratory disease",2023-07-01,188,93972
"All municipalities","Lower respiratory disease",2023-08-01,187,93972
"All municipalities","Lower respiratory disease",2023-09-01,201,93972
"All municipalities","Lower respiratory disease",2023-10-01,255,93972
"All municipalities","Lower respiratory disease",2023-11-01,255,93972
"All municipalities","Lower respiratory disease",2023-12-01,328,93972
"All municipalities","Lower respiratory disease",2024-01-01,310,95101
"All municipalities","Lower respiratory disease",2024-02-01,281,95101
"All municipalities","Lower respiratory disease",2024-03-01,304,95101
"All municipalities","Lower respiratory disease",2024-04-01,263,95101
"All municipalities","Lower respiratory disease",2024-05-01,277,95101
"All municipalities","Lower respiratory disease",2024-06-01,200,95101
"All municipalities","Lower respiratory disease",2024-07-01,212,95101
"All municipalities","Lower respiratory disease",2024-08-01,192,95101
"All municipalities","Lower respiratory disease",2024-09-01,209,95101
"All municipalities","Lower respiratory disease",2024-10-01,216,95101
"All municipalities","Lower respiratory disease",2024-11-01,196,95101
"All municipalities","Lower respiratory disease",2024-12-01,319,95101
"All municipalities","Obstipation",2020-01-01,30,91879
"All municipalities","Obstipation",2020-02-01,32,91879
"All municipalities","Obstipation",2020-03-01,15,91879
"All municipalities","Obstipation",2020-04-01,23,91879
"All municipalities","Obstipation",2020-05-01,23,91879
"All municipalities","Obstipation",2020-06-01,26,91879
"All municipalities","Obstipation",2020-07-01,30,91879
"All municipalities","Obstipation",2020-08-01,48,91879
"All municipalities","Obstipation",2020-09-01,30,91879
"All municipalities","Obstipation",2020-10-01,18,91879
"All municipalities","Obstipation",2020-11-01,24,91879
"All municipalities","Obstipation",2020-12-01,26,91879
"All municipalities","Obstipation",2021-01-01,29,91108
"All municipalities","Obstipation",2021-02-01,27,91108
"All municipalities","Obstipation",2021-03-01,27,91108
"All municipalities","Obstipation",2021-04-01,25,91108
"All municipalities","Obstipation",2021-05-01,15,91108
"All municipalities","Obstipation",2021-06-01,30,91108
"All municipalities","Obstipation",2021-07-01,26,91108
"All municipalities","Obstipation",2021-08-01,40,91108
"All municipalities","Obstipation",2021-09-01,37,91108
"All municipalities","Obstipation",2021-10-01,27,91108
"All municipalities","Obstipation",2021-11-01,29,91108
"All municipalities","Obstipation",2021-12-01,24,91108
"All municipalities","Obstipation",2022-01-01,37,92771
"All municipalities","Obstipation",2022-02-01,23,92771
"All municipalities","Obstipation",2022-03-01,26,92771
"All municipalities","Obstipation",2022-04-01,34,92771
"All municipalities","Obstipation",2022-05-01,25,92771
"All municipalities","Obstipation",2022-06-01,28,92771
"All municipalities","Obstipation",2022-07-01,40,92771
"All municipalities","Obstipation",2022-08-01,21,92771
"All municipalities","Obstipation",2022-09-01,33,92771
"All municipalities","Obstipation",2022-10-01,20,92771
"All municipalities","Obstipation",2022-11-01,25,92771
"All municipalities","Obstipation",2022-12-01,32,92771
"All municipalities","Obstipation",2023-01-01,16,93972
"All municipalities","Obstipation",2023-02-01,31,93972
"All municipalities","Obstipation",2023-03-01,27,93972
"All municipalities","Obstipation",2023-04-01,37,93972
"All municipalities","Obstipation",2023-05-01,42,93972
"All municipalities","Obstipation",2023-06-01,33,93972
"All municipalities","Obstipation",2023-07-01,26,93972
"All municipalities","Obstipation",2023-08-01,33,93972
"All municipalities","Obstipation",2023-09-01,35,93972
"All municipalities","Obstipation",2023-10-01,27,93972
"All municipalities","Obstipation",2023-11-01,21,93972
"All municipalities","Obstipation",2023-12-01,25,93972
"All municipalities","Obstipation",2024-01-01,31,95101
"All municipalities","Obstipation",2024-02-01,23,95101
"All municipalities","Obstipation",2024-03-01,36,95101
"All municipalities","Obstipation",2024-04-01,29,95101
"All municipalities","Obstipation",2024-05-01,22,95101
"All municipalities","Obstipation",2024-06-01,25,95101
"All municipalities","Obstipation",2024-07-01,34,95101
"All municipalities","Obstipation",2024-08-01,23,95101
"All municipalities","Obstipation",2024-09-01,29,95101
"All municipalities","Obstipation",2024-10-01,19,95101
"All municipalities","Obstipation",2024-11-01,24,95101
"All municipalities","Obstipation",2024-12-01,37,95101
"All municipalities","Urinary tract infection",2020-01-01,100,91879
"All municipalities","Urinary tract infection",2020-02-01,85,91879
"All municipalities","Urinary tract infection",2020-03-01,73,91879
"All municipalities","Urinary tract infection",2020-04-01,62,91879
"All municipalities","Urinary tract infection",2020-05-01,80,91879
"All municipalities","Urinary tract infection",2020-06-01,89,91879
"All municipalities","Urinary tract infection",2020-07-01,94,91879
"All municipalities","Urinary tract infection",2020-08-01,105,91879
"All municipalities","Urinary tract infection",2020-09-01,116,91879
"All municipalities","Urinary tract infection",2020-10-01,100,91879
"All municipalities","Urinary tract infection",2020-11-01,99,91879
"All municipalities","Urinary tract infection",2020-12-01,113,91879
"All municipalities","Urinary tract infection",2021-01-01,98,91108
"All municipalities","Urinary tract infection",2021-02-01,95,91108
"All municipalities","Urinary tract infection",2021-03-01,105,91108
"All municipalities","Urinary tract infection",2021-04-01,124,91108
"All municipalities","Urinary tract infection",2021-05-01,114,91108
"All municipalities","Urinary tract infection",2021-06-01,93,91108
"All municipalities","Urinary tract infection",2021-07-01,118,91108
"All municipalities","Urinary tract infection",2021-08-01,134,91108
"All municipalities","Urinary tract infection",2021-09-01,108,91108
"All municipalities","Urinary tract infection",2021-10-01,103,91108
"All municipalities","Urinary tract infection",2021-11-01,95,91108
"All municipalities","Urinary tract infection",2021-12-01,108,91108
"All municipalities","Urinary tract infection",2022-01-01,124,92771
"All municipalities","Urinary tract infection",2022-02-01,82,92771
"All municipalities","Urinary tract infection",2022-03-01,92,92771
"All municipalities","Urinary tract infection",2022-04-01,114,92771
"All municipalities","Urinary tract infection",2022-05-01,118,92771
"All municipalities","Urinary tract infection",2022-06-01,108,92771
"All municipalities","Urinary tract infection",2022-07-01,119,92771
"All municipalities","Urinary tract infection",2022-08-01,119,92771
"All municipalities","Urinary tract infection",2022-09-01,110,92771
"All municipalities","Urinary tract infection",2022-10-01,93,92771
"All municipalities","Urinary tract infection",2022-11-01,81,92771
"All municipalities","Urinary tract infection",2022-12-01,131,92771
"All municipalities","Urinary tract infection",2023-01-01,84,93972
"All municipalities","Urinary tract infection",2023-02-01,90,93972
"All municipalities","Urinary tract infection",2023-03-01,98,93972
"All municipalities","Urinary tract infection",2023-04-01,143,93972
"All municipalities","Urinary tract infection",2023-05-01,120,93972
"All municipalities","Urinary tract infection",2023-06-01,88,93972
"All municipalities","Urinary tract infection",2023-07-01,101,93972
"All municipalities","Urinary tract infection",2023-08-01,108,93972
"All municipalities","Urinary tract infection",2023-09-01,102,93972
"All municipalities","Urinary tract infection",2023-10-01,90,93972
"All municipalities","Urinary tract infection",2023-11-01,90,93972
"All municipalities","Urinary tract infection",2023-12-01,103,93972
"All municipalities","Urinary tract infection",2024-01-01,79,95101
"All municipalities","Urinary tract infection",2024-02-01,79,95101
"All municipalities","Urinary tract infection",2024-03-01,102,95101
"All municipalities","Urinary tract infection",2024-04-01,95,95101
"All municipalities","Urinary tract infection",2024-05-01,94,95101
"All municipalities","Urinary tract infection",2024-06-01,88,95101
"All municipalities","Urinary tract infection",2024-07-01,75,95101
"All municipalities","Urinary tract infection",2024-08-01,102,95101
"All municipalities","Urinary tract infection",2024-09-01,123,95101
"All municipalities","Urinary tract infection",2024-10-01,86,95101
"All municipalities","Urinary tract infection",2024-11-01,102,95101
"All municipalities","Urinary tract infection",2024-12-01,89,95101
"BAL","All diagnoses",2020-01-01,84,10116
"BAL","All diagnoses",2020-02-01,76,10116
"BAL","All diagnoses",2020-03-01,63,10116
"BAL","All diagnoses",2020-04-01,49,10116
"BAL","All diagnoses",2020-05-01,51,10116
"BAL","All diagnoses",2020-06-01,64,10116
"BAL","All diagnoses",2020-07-01,58,10116
"BAL","All diagnoses",2020-08-01,64,10116
"BAL","All diagnoses",2020-09-01,60,10116
"BAL","All diagnoses",2020-10-01,58,10116
"BAL","All diagnoses",2020-11-01,71,10116
"BAL","All diagnoses",2020-12-01,64,10116
"BAL","All diagnoses",2021-01-01,57,10083
"BAL","All diagnoses",2021-02-01,49,10083
"BAL","All diagnoses",2021-03-01,63,10083
"BAL","All diagnoses",2021-04-01,64,10083
"BAL","All diagnoses",2021-05-01,56,10083
"BAL","All diagnoses",2021-06-01,65,10083
"BAL","All diagnoses",2021-07-01,76,10083
"BAL","All diagnoses",2021-08-01,70,10083
"BAL","All diagnoses",2021-09-01,68,10083
"BAL","All diagnoses",2021-10-01,69,10083
"BAL","All diagnoses",2021-11-01,62,10083
"BAL","All diagnoses",2021-12-01,71,10083
"BAL","All diagnoses",2022-01-01,52,10088
"BAL","All diagnoses",2022-02-01,63,10088
"BAL","All diagnoses",2022-03-01,81,10088
"BAL","All diagnoses",2022-04-01,68,10088
"BAL","All diagnoses",2022-05-01,72,10088
"BAL","All diagnoses",2022-06-01,65,10088
"BAL","All diagnoses",2022-07-01,71,10088
"BAL","All diagnoses",2022-08-01,72,10088
"BAL","All diagnoses",2022-09-01,59,10088
"BAL","All diagnoses",2022-10-01,81,10088
"BAL","All diagnoses",2022-11-01,68,10088
"BAL","All diagnoses",2022-12-01,81,10088
"BAL","All diagnoses",2023-01-01,95,10178
"BAL","All diagnoses",2023-02-01,58,10178
"BAL","All diagnoses",2023-03-01,86,10178
"BAL","All diagnoses",2023-04-01,67,10178
"BAL","All diagnoses",2023-05-01,79,10178
"BAL","All diagnoses",2023-06-01,82,10178
"BAL","All diagnoses",2023-07-01,67,10178
"BAL","All diagnoses",2023-08-01,66,10178
"BAL","All diagnoses",2023-09-01,69,10178
"BAL","All diagnoses",2023-10-01,78,10178
"BAL","All diagnoses",2023-11-01,77,10178
"BAL","All diagnoses",2023-12-01,92,10178
"BAL","All diagnoses",2024-01-01,77,10213
"BAL","All diagnoses",2024-02-01,105,10213
"BAL","All diagnoses",2024-03-01,82,10213
"BAL","All diagnoses",2024-04-01,84,10213
"BAL","All diagnoses",2024-05-01,103,10213
"BAL","All diagnoses",2024-06-01,73,10213
"BAL","All diagnoses",2024-07-01,57,10213
"BAL","All diagnoses",2024-08-01,96,10213
"BAL","All diagnoses",2024-09-01,90,10213
"BAL","All diagnoses",2024-10-01,78,10213
"BAL","All diagnoses",2024-11-01,64,10213
"BAL","All diagnoses",2024-12-01,75,10213
"BAL","Fracture from fall",2020-01-01,33,10116
"BAL","Fracture from fall",2020-02-01,29,10116
"BAL","Fracture from fall",2020-03-01,20,10116
"BAL","Fracture from fall",2020-04-01,20,10116
"BAL","Fracture from fall",2020-05-01,18,10116
"BAL","Fracture from fall",2020-06-01,27,10116
"BAL","Fracture from fall",2020-07-01,25,10116
"BAL","Fracture from fall",2020-08-01,19,10116
"BAL","Fracture from fall",2020-09-01,30,10116
"BAL","Fracture from fall",2020-10-01,18,10116
"BAL","Fracture from fall",2020-11-01,36,10116
"BAL","Fracture from fall",2020-12-01,21,10116
"BAL","Fracture from fall",2021-01-01,23,10083
"BAL","Fracture from fall",2021-02-01,20,10083
"BAL","Fracture from fall",2021-03-01,26,10083
"BAL","Fracture from fall",2021-04-01,23,10083
"BAL","Fracture from fall",2021-05-01,24,10083
"BAL","Fracture from fall",2021-06-01,28,10083
"BAL","Fracture from fall",2021-07-01,34,10083
"BAL","Fracture from fall",2021-08-01,35,10083
"BAL","Fracture from fall",2021-09-01,18,10083
"BAL","Fracture from fall",2021-10-01,32,10083
"BAL","Fracture from fall",2021-11-01,23,10083
"BAL","Fracture from fall",2021-12-01,25,10083
"BAL","Fracture from fall",2022-01-01,16,10088
"BAL","Fracture from fall",2022-02-01,22,10088
"BAL","Fracture from fall",2022-03-01,36,10088
"BAL","Fracture from fall",2022-04-01,19,10088
"BAL","Fracture from fall",2022-05-01,24,10088
"BAL","Fracture from fall",2022-06-01,20,10088
"BAL","Fracture from fall",2022-07-01,35,10088
"BAL","Fracture from fall",2022-08-01,31,10088
"BAL","Fracture from fall",2022-09-01,26,10088
"BAL","Fracture from fall",2022-10-01,28,10088
"BAL","Fracture from fall",2022-11-01,24,10088
"BAL","Fracture from fall",2022-12-01,32,10088
"BAL","Fracture from fall",2023-01-01,34,10178
"BAL","Fracture from fall",2023-02-01,14,10178
"BAL","Fracture from fall",2023-03-01,25,10178
"BAL","Fracture from fall",2023-04-01,23,10178
"BAL","Fracture from fall",2023-05-01,21,10178
"BAL","Fracture from fall",2023-06-01,40,10178
"BAL","Fracture from fall",2023-07-01,22,10178
"BAL","Fracture from fall",2023-08-01,20,10178
"BAL","Fracture from fall",2023-09-01,27,10178
"BAL","Fracture from fall",2023-10-01,27,10178
"BAL","Fracture from fall",2023-11-01,30,10178
"BAL","Fracture from fall",2023-12-01,29,10178
"BAL","Fracture from fall",2024-01-01,27,10213
"BAL","Fracture from fall",2024-02-01,38,10213
"BAL","Fracture from fall",2024-03-01,19,10213
"BAL","Fracture from fall",2024-04-01,26,10213
"BAL","Fracture from fall",2024-05-01,37,10213
"BAL","Fracture from fall",2024-06-01,32,10213
"BAL","Fracture from fall",2024-07-01,20,10213
"BAL","Fracture from fall",2024-08-01,34,10213
"BAL","Fracture from fall",2024-09-01,35,10213
"BAL","Fracture from fall",2024-10-01,34,10213
"BAL","Fracture from fall",2024-11-01,27,10213
"BAL","Fracture from fall",2024-12-01,18,10213
"BAL","Gastroenteritis",2020-01-01,2,10116
"BAL","Gastroenteritis",2020-02-01,1,10116
"BAL","Gastroenteritis",2020-03-01,3,10116
"BAL","Gastroenteritis",2020-04-01,2,10116
"BAL","Gastroenteritis",2020-05-01,3,10116
"BAL","Gastroenteritis",2020-06-01,6,10116
"BAL","Gastroenteritis",2020-07-01,2,10116
"BAL","Gastroenteritis",2020-08-01,4,10116
"BAL","Gastroenteritis",2020-09-01,2,10116
"BAL","Gastroenteritis",2020-10-01,2,10116
"BAL","Gastroenteritis",2020-11-01,1,10116
"BAL","Gastroenteritis",2020-12-01,1,10116
"BAL","Gastroenteritis",2021-01-01,2,10083
"BAL","Gastroenteritis",2021-02-01,0,10083
"BAL","Gastroenteritis",2021-03-01,2,10083
"BAL","Gastroenteritis",2021-04-01,3,10083
"BAL","Gastroenteritis",2021-05-01,1,10083
"BAL","Gastroenteritis",2021-06-01,2,10083
"BAL","Gastroenteritis",2021-07-01,2,10083
"BAL","Gastroenteritis",2021-08-01,0,10083
"BAL","Gastroenteritis",2021-09-01,2,10083
"BAL","Gastroenteritis",2021-10-01,2,10083
"BAL","Gastroenteritis",2021-11-01,2,10083
"BAL","Gastroenteritis",2021-12-01,3,10083
"BAL","Gastroenteritis",2022-01-01,2,10088
"BAL","Gastroenteritis",2022-02-01,0,10088
"BAL","Gastroenteritis",2022-03-01,4,10088
"BAL","Gastroenteritis",2022-04-01,5,10088
"BAL","Gastroenteritis",2022-05-01,0,10088
"BAL","Gastroenteritis",2022-06-01,1,10088
"BAL","Gastroenteritis",2022-07-01,2,10088
"BAL","Gastroenteritis",2022-08-01,2,10088
"BAL","Gastroenteritis",2022-09-01,2,10088
"BAL","Gastroenteritis",2022-10-01,1,10088
"BAL","Gastroenteritis",2022-11-01,2,10088
"BAL","Gastroenteritis",2022-12-01,4,10088
"BAL","Gastroenteritis",2023-01-01,2,10178
"BAL","Gastroenteritis",2023-02-01,2,10178
"BAL","Gastroenteritis",2023-03-01,7,10178
"BAL","Gastroenteritis",2023-04-01,2,10178
"BAL","Gastroenteritis",2023-05-01,1,10178
"BAL","Gastroenteritis",2023-06-01,4,10178
"BAL","Gastroenteritis",2023-07-01,2,10178
"BAL","Gastroenteritis",2023-08-01,2,10178
"BAL","Gastroenteritis",2023-09-01,0,10178
"BAL","Gastroenteritis",2023-10-01,0,10178
"BAL","Gastroenteritis",2023-11-01,2,10178
